GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),SEAC,2018-01,92.2501457889195
claro,indicador de desempenho no atendimento (ida),SEAC,2018-01,75.2635182017804
net,indicador de desempenho no atendimento (ida),SEAC,2018-01,82.7151830553712
oi,indicador de desempenho no atendimento (ida),SEAC,2018-01,78.8522778265431
sky,indicador de desempenho no atendimento (ida),SEAC,2018-01,68.6245171198521
vivo,indicador de desempenho no atendimento (ida),SEAC,2018-01,83.696566218237
algar,índice de reclamações,SEAC,2018-01,0.732444227423933
claro,índice de reclamações,SEAC,2018-01,2.25787131688428
net,índice de reclamações,SEAC,2018-01,1.77351310140087
oi,índice de reclamações,SEAC,2018-01,2.0246019412747
sky,índice de reclamações,SEAC,2018-01,2.68940638720962
vivo,índice de reclamações,SEAC,2018-01,1.7097231958146
algar,quantidade de acessos em serviço,SEAC,2018-01,98301.0
claro,quantidade de acessos em serviço,SEAC,2018-01,1865031.0
net,quantidade de acessos em serviço,SEAC,2018-01,7169386.0
oi,quantidade de acessos em serviço,SEAC,2018-01,1519311.0
sky,quantidade de acessos em serviço,SEAC,2018-01,5361778.0
vivo,quantidade de acessos em serviço,SEAC,2018-01,1579203.0
algar,quantidade de reabertas,SEAC,2018-01,4.0
claro,quantidade de reabertas,SEAC,2018-01,246.0
net,quantidade de reabertas,SEAC,2018-01,953.0
oi,quantidade de reabertas,SEAC,2018-01,225.0
sky,quantidade de reabertas,SEAC,2018-01,1011.0
vivo,quantidade de reabertas,SEAC,2018-01,119.0
algar,quantidade de reclamações,SEAC,2018-01,72.0
claro,quantidade de reclamações,SEAC,2018-01,4211.0
net,quantidade de reclamações,SEAC,2018-01,12715.0
oi,quantidade de reclamações,SEAC,2018-01,3076.0
sky,quantidade de reclamações,SEAC,2018-01,14420.0
vivo,quantidade de reclamações,SEAC,2018-01,2700.0
algar,quantidade de reclamações no período,SEAC,2018-01,170.0
claro,quantidade de reclamações no período,SEAC,2018-01,11539.0
net,quantidade de reclamações no período,SEAC,2018-01,37307.0
oi,quantidade de reclamações no período,SEAC,2018-01,9472.0
sky,quantidade de reclamações no período,SEAC,2018-01,39392.0
vivo,quantidade de reclamações no período,SEAC,2018-01,6813.0
algar,quantidade de respondidas,SEAC,2018-01,72.0
claro,quantidade de respondidas,SEAC,2018-01,4207.0
net,quantidade de respondidas,SEAC,2018-01,12672.0
oi,quantidade de respondidas,SEAC,2018-01,3018.0
sky,quantidade de respondidas,SEAC,2018-01,14415.0
vivo,quantidade de respondidas,SEAC,2018-01,2691.0
algar,quantidade de sol. respondidas em até 5 dias,SEAC,2018-01,58.0
claro,quantidade de sol. respondidas em até 5 dias,SEAC,2018-01,3770.0
net,quantidade de sol. respondidas em até 5 dias,SEAC,2018-01,10902.0
