GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
claro,indicador de desempenho no atendimento (ida),SMP,2014-01,89.292
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2014-01,99.4
oi celular,indicador de desempenho no atendimento (ida),SMP,2014-01,80.214
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2014-01,91.667
tim gsm,indicador de desempenho no atendimento (ida),SMP,2014-01,92.15
vivo,indicador de desempenho no atendimento (ida),SMP,2014-01,93.95
claro,quantidade de reclamações,SMP,2014-01,21341.0
ctbc celular,quantidade de reclamações,SMP,2014-01,217.0
oi celular,quantidade de reclamações,SMP,2014-01,23630.0
sercomtel celular,quantidade de reclamações,SMP,2014-01,4.0
tim gsm,quantidade de reclamações,SMP,2014-01,26269.0
vivo,quantidade de reclamações,SMP,2014-01,24975.0
claro,quantidade de acessos em serviço,SMP,2014-01,69033217.0
ctbc celular,quantidade de acessos em serviço,SMP,2014-01,1024699.0
oi celular,quantidade de acessos em serviço,SMP,2014-01,50435852.0
sercomtel celular,quantidade de acessos em serviço,SMP,2014-01,59176.0
tim gsm,quantidade de acessos em serviço,SMP,2014-01,73542521.0
vivo,quantidade de acessos em serviço,SMP,2014-01,77745609.0
claro,índice de reclamações,SMP,2014-01,0.309
ctbc celular,índice de reclamações,SMP,2014-01,0.212
oi celular,índice de reclamações,SMP,2014-01,0.469
sercomtel celular,índice de reclamações,SMP,2014-01,0.068
tim gsm,índice de reclamações,SMP,2014-01,0.357
vivo,índice de reclamações,SMP,2014-01,0.321
claro,quantidade de resolvidas,SMP,2014-01,20932.0
ctbc celular,quantidade de resolvidas,SMP,2014-01,217.0
oi celular,quantidade de resolvidas,SMP,2014-01,23624.0
sercomtel celular,quantidade de resolvidas,SMP,2014-01,3.0
tim gsm,quantidade de resolvidas,SMP,2014-01,26126.0
vivo,quantidade de resolvidas,SMP,2014-01,24907.0
claro,quantidade de reabertas,SMP,2014-01,1761.0
ctbc celular,quantidade de reabertas,SMP,2014-01,16.0
oi celular,quantidade de reabertas,SMP,2014-01,2395.0
sercomtel celular,quantidade de reabertas,SMP,2014-01,0.0
tim gsm,quantidade de reabertas,SMP,2014-01,1907.0
vivo,quantidade de reabertas,SMP,2014-01,1183.0
claro,taxa de reabertas,SMP,2014-01,8.413
ctbc celular,taxa de reabertas,SMP,2014-01,7.373
oi celular,taxa de reabertas,SMP,2014-01,10.138
sercomtel celular,taxa de reabertas,SMP,2014-01,0.0
tim gsm,taxa de reabertas,SMP,2014-01,7.299
vivo,taxa de reabertas,SMP,2014-01,4.75
claro,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,18468.0
ctbc celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,194.0
oi celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,20089.0
sercomtel celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,3.0
tim gsm,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,22598.0
vivo,quantidade de sol. resolvidas em até 5 dias,SMP,2014-01,21916.0
claro,taxa de resolvidas em 5 dias úteis,SMP,2014-01,86.538
ctbc celular,taxa de resolvidas em 5 dias úteis,SMP,2014-01,89.401
oi celular,taxa de resolvidas em 5 dias úteis,SMP,2014-01,85.015
sercomtel celular,taxa de resolvidas em 5 dias úteis,SMP,2014-01,75.0
tim gsm,taxa de resolvidas em 5 dias úteis,SMP,2014-01,86.025
vivo,taxa de resolvidas em 5 dias úteis,SMP,2014-01,87.752
tim gsm,quantidade de reclamações no período,SMP,2014-01,84311.0
claro,quantidade de reclamações no período,SMP,2014-01,74721.0
ctbc celular,quantidade de reclamações no período,SMP,2014-01,938.0
oi celular,quantidade de reclamações no período,SMP,2014-01,13.0
sercomtel celular,quantidade de reclamações no período,SMP,2014-01,80509.0
vivo,quantidade de reclamações no período,SMP,2014-01,3625.0
tim gsm,quantidade de sol. resolvidas no período,SMP,2014-01,83876.0
claro,quantidade de sol. resolvidas no período,SMP,2014-01,74316.0
ctbc celular,quantidade de sol. resolvidas no período,SMP,2014-01,938.0
oi celular,quantidade de sol. resolvidas no período,SMP,2014-01,13.0
sercomtel celular,quantidade de sol. resolvidas no período,SMP,2014-01,80252.0
vivo,quantidade de sol. resolvidas no período,SMP,2014-01,3621.0
tim gsm,taxa de resolvidas no período,SMP,2014-01,99.484
claro,taxa de resolvidas no período,SMP,2014-01,99.458
ctbc celular,taxa de resolvidas no período,SMP,2014-01,100.0
oi celular,taxa de resolvidas no período,SMP,2014-01,99.89
sercomtel celular,taxa de resolvidas no período,SMP,2014-01,100.0
vivo,taxa de resolvidas no período,SMP,2014-01,99.681
claro,indicador de desempenho no atendimento (ida),SMP,2014-02,90.676
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2014-02,85.648
oi celular,indicador de desempenho no atendimento (ida),SMP,2014-02,76.899
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2014-02,100.0
tim gsm,indicador de desempenho no atendimento (ida),SMP,2014-02,94.45
vivo,indicador de desempenho no atendimento (ida),SMP,2014-02,96.75
claro,quantidade de reclamações,SMP,2014-02,19181.0
ctbc celular,quantidade de reclamações,SMP,2014-02,171.0
oi celular,quantidade de reclamações,SMP,2014-02,19904.0
sercomtel celular,quantidade de reclamações,SMP,2014-02,4.0
tim gsm,quantidade de reclamações,SMP,2014-02,22903.0
vivo,quantidade de reclamações,SMP,2014-02,20664.0
claro,quantidade de acessos em serviço,SMP,2014-02,68941694.0
ctbc celular,quantidade de acessos em serviço,SMP,2014-02,1042124.0
oi celular,quantidade de acessos em serviço,SMP,2014-02,50367609.0
sercomtel celular,quantidade de acessos em serviço,SMP,2014-02,56731.0
tim gsm,quantidade de acessos em serviço,SMP,2014-02,73641359.0
vivo,quantidade de acessos em serviço,SMP,2014-02,78046756.0
claro,índice de reclamações,SMP,2014-02,0.278
ctbc celular,índice de reclamações,SMP,2014-02,0.164
oi celular,índice de reclamações,SMP,2014-02,0.395
sercomtel celular,índice de reclamações,SMP,2014-02,0.071
tim gsm,índice de reclamações,SMP,2014-02,0.311
vivo,índice de reclamações,SMP,2014-02,0.265
claro,quantidade de resolvidas,SMP,2014-02,19082.0
ctbc celular,quantidade de resolvidas,SMP,2014-02,171.0
oi celular,quantidade de resolvidas,SMP,2014-02,19380.0
sercomtel celular,quantidade de resolvidas,SMP,2014-02,4.0
tim gsm,quantidade de resolvidas,SMP,2014-02,22733.0
vivo,quantidade de resolvidas,SMP,2014-02,20597.0
claro,quantidade de reabertas,SMP,2014-02,1656.0
ctbc celular,quantidade de reabertas,SMP,2014-02,19.0
oi celular,quantidade de reabertas,SMP,2014-02,2417.0
sercomtel celular,quantidade de reabertas,SMP,2014-02,0.0
tim gsm,quantidade de reabertas,SMP,2014-02,1644.0
vivo,quantidade de reabertas,SMP,2014-02,1051.0
claro,taxa de reabertas,SMP,2014-02,5.424
ctbc celular,taxa de reabertas,SMP,2014-02,6.944
oi celular,taxa de reabertas,SMP,2014-02,7.795
sercomtel celular,taxa de reabertas,SMP,2014-02,0.0
tim gsm,taxa de reabertas,SMP,2014-02,4.52
vivo,taxa de reabertas,SMP,2014-02,3.189
claro,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,19181.0
ctbc celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,171.0
oi celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,19904.0
sercomtel celular,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,4.0
tim gsm,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,22903.0
vivo,quantidade de sol. resolvidas em até 5 dias,SMP,2014-02,20664.0
claro,taxa de resolvidas em 5 dias úteis,SMP,2014-02,85.475
ctbc celular,taxa de resolvidas em 5 dias úteis,SMP,2014-02,77.778
oi celular,taxa de resolvidas em 5 dias úteis,SMP,2014-02,83.33
sercomtel celular,taxa de resolvidas em 5 dias úteis,SMP,2014-02,100.0
tim gsm,taxa de resolvidas em 5 dias úteis,SMP,2014-02,86.299
vivo,taxa de resolvidas em 5 dias úteis,SMP,2014-02,86.769
tim gsm,quantidade de reclamações no período,SMP,2014-02,81648.0
claro,quantidade de reclamações no período,SMP,2014-02,68336.0
ctbc celular,quantidade de reclamações no período,SMP,2014-02,817.0
oi celular,quantidade de reclamações no período,SMP,2014-02,12.0
sercomtel celular,quantidade de reclamações no período,SMP,2014-02,77409.0
vivo,quantidade de reclamações no período,SMP,2014-02,76536.0
tim gsm,quantidade de sol. resolvidas no período,SMP,2014-02,81204.0
claro,quantidade de sol. resolvidas no período,SMP,2014-02,67937.0
ctbc celular,quantidade de sol. resolvidas no período,SMP,2014-02,817.0
oi celular,quantidade de sol. resolvidas no período,SMP,2014-02,12.0
sercomtel celular,quantidade de sol. resolvidas no período,SMP,2014-02,77279.0
vivo,quantidade de sol. resolvidas no período,SMP,2014-02,76138.0
tim gsm,taxa de resolvidas no período,SMP,2014-02,99.832
claro,taxa de resolvidas no período,SMP,2014-02,99.456
ctbc celular,taxa de resolvidas no período,SMP,2014-02,99.416
oi celular,taxa de resolvidas no período,SMP,2014-02,100.0
sercomtel celular,taxa de resolvidas no período,SMP,2014-02,100.0
vivo,taxa de resolvidas no período,SMP,2014-02,99.48
claro,indicador de desempenho no atendimento (ida),SMP,2014-03,87.797
ctbc celular,indicador de desempenho no atendimento (ida),SMP,2014-03,84.967
oi celular,indicador de desempenho no atendimento (ida),SMP,2014-03,83.649
sercomtel celular,indicador de desempenho no atendimento (ida),SMP,2014-03,76.042
tim gsm,indicador de desempenho no atendimento (ida),SMP,2014-03,96.9
vivo,indicador de desempenho no atendimento (ida),SMP,2014-03,98.9
claro,quantidade de reclamações,SMP,2014-03,14906.0
ctbc celular,quantidade de reclamações,SMP,2014-03,102.0
oi celular,quantidade de reclamações,SMP,2014-03,14878.0
sercomtel celular,quantidade de reclamações,SMP,2014-03,4.0
tim gsm,quantidade de reclamações,SMP,2014-03,19365.0
vivo,quantidade de reclamações,SMP,2014-03,17410.0
claro,quantidade de acessos em serviço,SMP,2014-03,68748907.0
