GRUPO ECONÔMICO,VARIÁVEL,SERVIÇO,data,valor
algar,indicador de desempenho no atendimento (ida),STFC,2018-01,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2018-01,89.5575208214004
oi,indicador de desempenho no atendimento (ida),STFC,2018-01,37.3622848312231
sercomtel,indicador de desempenho no atendimento (ida),STFC,2018-01,2.65956927522649
tim,indicador de desempenho no atendimento (ida),STFC,2018-01,42.6178324022339
vivo,indicador de desempenho no atendimento (ida),STFC,2018-01,71.5405843023538
algar,índice de reclamações,STFC,2018-01,0.344737880962646
embratel,índice de reclamações,STFC,2018-01,0.735929250429584
oi,índice de reclamações,STFC,2018-01,2.43374875759015
sercomtel,índice de reclamações,STFC,2018-01,0.337402613336605
tim,índice de reclamações,STFC,2018-01,1.94695637669231
vivo,índice de reclamações,STFC,2018-01,1.38453896511526
algar,quantidade de acessos em serviço,STFC,2018-01,1099386.0
embratel,quantidade de acessos em serviço,STFC,2018-01,10840716.0
oi,quantidade de acessos em serviço,STFC,2018-01,13422503.0
sercomtel,quantidade de acessos em serviço,STFC,2018-01,260816.0
tim,quantidade de acessos em serviço,STFC,2018-01,731398.0
vivo,quantidade de acessos em serviço,STFC,2018-01,14104334.0
algar,quantidade de reabertas,STFC,2018-01,23.0
embratel,quantidade de reabertas,STFC,2018-01,445.0
oi,quantidade de reabertas,STFC,2018-01,2602.0
sercomtel,quantidade de reabertas,STFC,2018-01,41.0
tim,quantidade de reabertas,STFC,2018-01,182.0
vivo,quantidade de reabertas,STFC,2018-01,1131.0
algar,quantidade de reclamações,STFC,2018-01,379.0
embratel,quantidade de reclamações,STFC,2018-01,7978.0
oi,quantidade de reclamações,STFC,2018-01,32667.0
sercomtel,quantidade de reclamações,STFC,2018-01,88.0
tim,quantidade de reclamações,STFC,2018-01,1424.0
vivo,quantidade de reclamações,STFC,2018-01,19528.0
algar,quantidade de reclamações no período,STFC,2018-01,853.0
embratel,quantidade de reclamações no período,STFC,2018-01,24179.0
oi,quantidade de reclamações no período,STFC,2018-01,90904.0
sercomtel,quantidade de reclamações no período,STFC,2018-01,194.0
tim,quantidade de reclamações no período,STFC,2018-01,4221.0
vivo,quantidade de reclamações no período,STFC,2018-01,52120.0
algar,quantidade de respondidas,STFC,2018-01,379.0
embratel,quantidade de respondidas,STFC,2018-01,7963.0
oi,quantidade de respondidas,STFC,2018-01,32308.0
sercomtel,quantidade de respondidas,STFC,2018-01,48.0
tim,quantidade de respondidas,STFC,2018-01,1416.0
vivo,quantidade de respondidas,STFC,2018-01,19516.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,332.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,7094.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,28399.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,40.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,1199.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2018-01,16981.0
algar,quantidade de sol. respondidas no período,STFC,2018-01,853.0
embratel,quantidade de sol. respondidas no período,STFC,2018-01,24159.0
oi,quantidade de sol. respondidas no período,STFC,2018-01,90559.0
sercomtel,quantidade de sol. respondidas no período,STFC,2018-01,169.0
tim,quantidade de sol. respondidas no período,STFC,2018-01,4214.0
vivo,quantidade de sol. respondidas no período,STFC,2018-01,52085.0
algar,taxa de reabertas,STFC,2018-01,6.06860158311346
embratel,taxa de reabertas,STFC,2018-01,5.58834610071581
oi,taxa de reabertas,STFC,2018-01,8.05373282159218
sercomtel,taxa de reabertas,STFC,2018-01,85.4166666666667
tim,taxa de reabertas,STFC,2018-01,12.8531073446328
vivo,taxa de reabertas,STFC,2018-01,5.79524492723919
algar,taxa de respondidas em 5 dias úteis,STFC,2018-01,87.598944591029
embratel,taxa de respondidas em 5 dias úteis,STFC,2018-01,88.9195287039358
oi,taxa de respondidas em 5 dias úteis,STFC,2018-01,86.9348271956409
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2018-01,45.4545454545455
tim,taxa de respondidas em 5 dias úteis,STFC,2018-01,84.1994382022472
vivo,taxa de respondidas em 5 dias úteis,STFC,2018-01,86.9571896763621
algar,taxa de respondidas no período,STFC,2018-01,100.0
embratel,taxa de respondidas no período,STFC,2018-01,99.917
oi,taxa de respondidas no período,STFC,2018-01,99.62
sercomtel,taxa de respondidas no período,STFC,2018-01,87.113
tim,taxa de respondidas no período,STFC,2018-01,99.834
vivo,taxa de respondidas no período,STFC,2018-01,99.933
algar,indicador de desempenho no atendimento (ida),STFC,2018-02,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2018-02,93.14
oi,indicador de desempenho no atendimento (ida),STFC,2018-02,54.927
sercomtel,indicador de desempenho no atendimento (ida),STFC,2018-02,42.776
tim,indicador de desempenho no atendimento (ida),STFC,2018-02,50.392
vivo,indicador de desempenho no atendimento (ida),STFC,2018-02,77.689
algar,índice de reclamações,STFC,2018-02,0.289
embratel,índice de reclamações,STFC,2018-02,0.607
oi,índice de reclamações,STFC,2018-02,1.983
sercomtel,índice de reclamações,STFC,2018-02,0.127
tim,índice de reclamações,STFC,2018-02,1.696
vivo,índice de reclamações,STFC,2018-02,1.163
algar,quantidade de acessos em serviço,STFC,2018-02,1101484.0
embratel,quantidade de acessos em serviço,STFC,2018-02,10821232.0
oi,quantidade de acessos em serviço,STFC,2018-02,13331278.0
sercomtel,quantidade de acessos em serviço,STFC,2018-02,258876.0
tim,quantidade de acessos em serviço,STFC,2018-02,736872.0
vivo,quantidade de acessos em serviço,STFC,2018-02,14107828.0
algar,quantidade de reabertas,STFC,2018-02,9.0
embratel,quantidade de reabertas,STFC,2018-02,381.0
oi,quantidade de reabertas,STFC,2018-02,1865.0
sercomtel,quantidade de reabertas,STFC,2018-02,0.0
tim,quantidade de reabertas,STFC,2018-02,149.0
vivo,quantidade de reabertas,STFC,2018-02,881.0
algar,quantidade de reclamações,STFC,2018-02,318.0
embratel,quantidade de reclamações,STFC,2018-02,6568.0
oi,quantidade de reclamações,STFC,2018-02,26431.0
sercomtel,quantidade de reclamações,STFC,2018-02,33.0
tim,quantidade de reclamações,STFC,2018-02,1250.0
vivo,quantidade de reclamações,STFC,2018-02,16410.0
algar,quantidade de reclamações no período,STFC,2018-02,934.0
embratel,quantidade de reclamações no período,STFC,2018-02,23380.0
oi,quantidade de reclamações no período,STFC,2018-02,88825.0
sercomtel,quantidade de reclamações no período,STFC,2018-02,230.0
tim,quantidade de reclamações no período,STFC,2018-02,4218.0
vivo,quantidade de reclamações no período,STFC,2018-02,53123.0
algar,quantidade de respondidas,STFC,2018-02,318.0
embratel,quantidade de respondidas,STFC,2018-02,6544.0
oi,quantidade de respondidas,STFC,2018-02,26160.0
sercomtel,quantidade de respondidas,STFC,2018-02,32.0
tim,quantidade de respondidas,STFC,2018-02,1246.0
vivo,quantidade de respondidas,STFC,2018-02,16393.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,280.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,5792.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,22987.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,28.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,1062.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2018-02,14358.0
algar,quantidade de sol. respondidas no período,STFC,2018-02,934.0
embratel,quantidade de sol. respondidas no período,STFC,2018-02,23376.0
oi,quantidade de sol. respondidas no período,STFC,2018-02,88513.0
sercomtel,quantidade de sol. respondidas no período,STFC,2018-02,170.0
tim,quantidade de sol. respondidas no período,STFC,2018-02,4218.0
vivo,quantidade de sol. respondidas no período,STFC,2018-02,53088.0
algar,taxa de reabertas,STFC,2018-02,2.83
embratel,taxa de reabertas,STFC,2018-02,5.822
oi,taxa de reabertas,STFC,2018-02,7.129
sercomtel,taxa de reabertas,STFC,2018-02,0.0
tim,taxa de reabertas,STFC,2018-02,11.958
vivo,taxa de reabertas,STFC,2018-02,5.374
algar,taxa de respondidas em 5 dias úteis,STFC,2018-02,88.05
embratel,taxa de respondidas em 5 dias úteis,STFC,2018-02,88.185
oi,taxa de respondidas em 5 dias úteis,STFC,2018-02,86.97
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2018-02,84.848
tim,taxa de respondidas em 5 dias úteis,STFC,2018-02,84.96
vivo,taxa de respondidas em 5 dias úteis,STFC,2018-02,87.495
algar,taxa de respondidas no período,STFC,2018-02,100.0
embratel,taxa de respondidas no período,STFC,2018-02,99.983
oi,taxa de respondidas no período,STFC,2018-02,99.649
sercomtel,taxa de respondidas no período,STFC,2018-02,73.913
tim,taxa de respondidas no período,STFC,2018-02,100.0
vivo,taxa de respondidas no período,STFC,2018-02,99.934
algar,indicador de desempenho no atendimento (ida),STFC,2018-03,100.0
embratel,indicador de desempenho no atendimento (ida),STFC,2018-03,91.599
oi,indicador de desempenho no atendimento (ida),STFC,2018-03,47.452
sercomtel,indicador de desempenho no atendimento (ida),STFC,2018-03,24.529
tim,indicador de desempenho no atendimento (ida),STFC,2018-03,33.015
vivo,indicador de desempenho no atendimento (ida),STFC,2018-03,69.152
algar,índice de reclamações,STFC,2018-03,0.355
embratel,índice de reclamações,STFC,2018-03,0.662
oi,índice de reclamações,STFC,2018-03,2.252
sercomtel,índice de reclamações,STFC,2018-03,0.141
tim,índice de reclamações,STFC,2018-03,2.248
vivo,índice de reclamações,STFC,2018-03,1.471
algar,quantidade de acessos em serviço,STFC,2018-03,1106964.0
embratel,quantidade de acessos em serviço,STFC,2018-03,10820479.0
oi,quantidade de acessos em serviço,STFC,2018-03,13232522.0
sercomtel,quantidade de acessos em serviço,STFC,2018-03,254744.0
tim,quantidade de acessos em serviço,STFC,2018-03,739454.0
vivo,quantidade de acessos em serviço,STFC,2018-03,14108018.0
algar,quantidade de reabertas,STFC,2018-03,24.0
embratel,quantidade de reabertas,STFC,2018-03,415.0
oi,quantidade de reabertas,STFC,2018-03,2225.0
sercomtel,quantidade de reabertas,STFC,2018-03,3.0
tim,quantidade de reabertas,STFC,2018-03,240.0
vivo,quantidade de reabertas,STFC,2018-03,1155.0
algar,quantidade de reclamações,STFC,2018-03,393.0
embratel,quantidade de reclamações,STFC,2018-03,7168.0
oi,quantidade de reclamações,STFC,2018-03,29796.0
sercomtel,quantidade de reclamações,STFC,2018-03,36.0
tim,quantidade de reclamações,STFC,2018-03,1662.0
vivo,quantidade de reclamações,STFC,2018-03,20746.0
algar,quantidade de reclamações no período,STFC,2018-03,975.0
embratel,quantidade de reclamações no período,STFC,2018-03,21752.0
oi,quantidade de reclamações no período,STFC,2018-03,85615.0
sercomtel,quantidade de reclamações no período,STFC,2018-03,191.0
tim,quantidade de reclamações no período,STFC,2018-03,4108.0
vivo,quantidade de reclamações no período,STFC,2018-03,51902.0
algar,quantidade de respondidas,STFC,2018-03,393.0
embratel,quantidade de respondidas,STFC,2018-03,7154.0
oi,quantidade de respondidas,STFC,2018-03,29613.0
sercomtel,quantidade de respondidas,STFC,2018-03,35.0
tim,quantidade de respondidas,STFC,2018-03,1660.0
vivo,quantidade de respondidas,STFC,2018-03,20733.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,340.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,6338.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,25788.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,27.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,1387.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2018-03,17969.0
algar,quantidade de sol. respondidas no período,STFC,2018-03,975.0
embratel,quantidade de sol. respondidas no período,STFC,2018-03,21749.0
oi,quantidade de sol. respondidas no período,STFC,2018-03,85348.0
sercomtel,quantidade de sol. respondidas no período,STFC,2018-03,132.0
tim,quantidade de sol. respondidas no período,STFC,2018-03,4108.0
vivo,quantidade de sol. respondidas no período,STFC,2018-03,51884.0
algar,taxa de reabertas,STFC,2018-03,6.107
embratel,taxa de reabertas,STFC,2018-03,5.801
oi,taxa de reabertas,STFC,2018-03,7.514
sercomtel,taxa de reabertas,STFC,2018-03,8.571
tim,taxa de reabertas,STFC,2018-03,14.458
vivo,taxa de reabertas,STFC,2018-03,5.571
algar,taxa de respondidas em 5 dias úteis,STFC,2018-03,86.514
embratel,taxa de respondidas em 5 dias úteis,STFC,2018-03,88.421
oi,taxa de respondidas em 5 dias úteis,STFC,2018-03,86.549
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2018-03,75.0
tim,taxa de respondidas em 5 dias úteis,STFC,2018-03,83.454
vivo,taxa de respondidas em 5 dias úteis,STFC,2018-03,86.614
algar,taxa de respondidas no período,STFC,2018-03,100.0
embratel,taxa de respondidas no período,STFC,2018-03,99.986
oi,taxa de respondidas no período,STFC,2018-03,99.688
sercomtel,taxa de respondidas no período,STFC,2018-03,69.11
tim,taxa de respondidas no período,STFC,2018-03,100.0
vivo,taxa de respondidas no período,STFC,2018-03,99.965
algar,indicador de desempenho no atendimento (ida),STFC,2018-04,94.218
embratel,indicador de desempenho no atendimento (ida),STFC,2018-04,92.377
oi,indicador de desempenho no atendimento (ida),STFC,2018-04,48.522
sercomtel,indicador de desempenho no atendimento (ida),STFC,2018-04,30.761
tim,indicador de desempenho no atendimento (ida),STFC,2018-04,35.55
vivo,indicador de desempenho no atendimento (ida),STFC,2018-04,71.42
algar,índice de reclamações,STFC,2018-04,0.373
embratel,índice de reclamações,STFC,2018-04,0.634
oi,índice de reclamações,STFC,2018-04,2.213
sercomtel,índice de reclamações,STFC,2018-04,0.157
tim,índice de reclamações,STFC,2018-04,2.229
vivo,índice de reclamações,STFC,2018-04,1.389
algar,quantidade de acessos em serviço,STFC,2018-04,1137183.0
embratel,quantidade de acessos em serviço,STFC,2018-04,10786019.0
oi,quantidade de acessos em serviço,STFC,2018-04,13164182.0
sercomtel,quantidade de acessos em serviço,STFC,2018-04,254275.0
tim,quantidade de acessos em serviço,STFC,2018-04,745913.0
vivo,quantidade de acessos em serviço,STFC,2018-04,14197770.0
algar,quantidade de reabertas,STFC,2018-04,28.0
embratel,quantidade de reabertas,STFC,2018-04,357.0
oi,quantidade de reabertas,STFC,2018-04,2065.0
sercomtel,quantidade de reabertas,STFC,2018-04,7.0
tim,quantidade de reabertas,STFC,2018-04,196.0
vivo,quantidade de reabertas,STFC,2018-04,1064.0
algar,quantidade de reclamações,STFC,2018-04,424.0
embratel,quantidade de reclamações,STFC,2018-04,6843.0
oi,quantidade de reclamações,STFC,2018-04,29135.0
sercomtel,quantidade de reclamações,STFC,2018-04,40.0
tim,quantidade de reclamações,STFC,2018-04,1663.0
vivo,quantidade de reclamações,STFC,2018-04,19719.0
algar,quantidade de reclamações no período,STFC,2018-04,1091.0
embratel,quantidade de reclamações no período,STFC,2018-04,21707.0
oi,quantidade de reclamações no período,STFC,2018-04,88898.0
sercomtel,quantidade de reclamações no período,STFC,2018-04,157.0
tim,quantidade de reclamações no período,STFC,2018-04,4336.0
vivo,quantidade de reclamações no período,STFC,2018-04,56688.0
algar,quantidade de respondidas,STFC,2018-04,424.0
embratel,quantidade de respondidas,STFC,2018-04,6826.0
oi,quantidade de respondidas,STFC,2018-04,28984.0
sercomtel,quantidade de respondidas,STFC,2018-04,36.0
tim,quantidade de respondidas,STFC,2018-04,1658.0
vivo,quantidade de respondidas,STFC,2018-04,19712.0
algar,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,355.0
embratel,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,6121.0
oi,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,25416.0
sercomtel,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,25.0
tim,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,1407.0
vivo,quantidade de sol. respondidas em até 5 dias,STFC,2018-04,17188.0
algar,quantidade de sol. respondidas no período,STFC,2018-04,1091.0
embratel,quantidade de sol. respondidas no período,STFC,2018-04,21690.0
oi,quantidade de sol. respondidas no período,STFC,2018-04,88744.0
sercomtel,quantidade de sol. respondidas no período,STFC,2018-04,122.0
tim,quantidade de sol. respondidas no período,STFC,2018-04,4330.0
vivo,quantidade de sol. respondidas no período,STFC,2018-04,56649.0
algar,taxa de reabertas,STFC,2018-04,6.604
embratel,taxa de reabertas,STFC,2018-04,5.23
oi,taxa de reabertas,STFC,2018-04,7.125
sercomtel,taxa de reabertas,STFC,2018-04,19.444
tim,taxa de reabertas,STFC,2018-04,11.821
vivo,taxa de reabertas,STFC,2018-04,5.398
algar,taxa de respondidas em 5 dias úteis,STFC,2018-04,83.726
embratel,taxa de respondidas em 5 dias úteis,STFC,2018-04,89.449
oi,taxa de respondidas em 5 dias úteis,STFC,2018-04,87.235
sercomtel,taxa de respondidas em 5 dias úteis,STFC,2018-04,62.5
tim,taxa de respondidas em 5 dias úteis,STFC,2018-04,84.606
vivo,taxa de respondidas em 5 dias úteis,STFC,2018-04,87.165
algar,taxa de respondidas no período,STFC,2018-04,100.0
embratel,taxa de respondidas no período,STFC,2018-04,99.922
oi,taxa de respondidas no período,STFC,2018-04,99.827
sercomtel,taxa de respondidas no período,STFC,2018-04,77.707
tim,taxa de respondidas no período,STFC,2018-04,99.862
vivo,taxa de respondidas no período,STFC,2018-04,99.931
algar,indicador de desempenho no atendimento (ida),STFC,2018-05,88.2660167130919
embratel,indicador de desempenho no atendimento (ida),STFC,2018-05,92.3279285247896
oi,indicador de desempenho no atendimento (ida),STFC,2018-05,52.6244415128961
sercomtel,indicador de desempenho no atendimento (ida),STFC,2018-05,94.1666666666667
tim,indicador de desempenho no atendimento (ida),STFC,2018-05,39.4752101979758
vivo,indicador de desempenho no atendimento (ida),STFC,2018-05,74.078054872808
algar,índice de reclamações,STFC,2018-05,0.317272622024023
